Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
Volkswagen Group of,A5 Coupe quattro,2,4,Auto(AM-S7),24,32,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2050,2,2,Subcompact Cars,7/29/22,Yes,364,280
Volkswagen Group of,RS5 Coupe,2.9,6,Auto(S8),18,26,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2600,2,2,Subcompact Cars,6/30/22,No,496,347
Volkswagen Group of,S3,2,4,Auto(AM-S7),23,32,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2100,2,2,Subcompact Cars,6/17/22,Yes,383,274
Volkswagen Group of,S5 Cabriolet,3,6,Auto(S8),21,28,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2400,2,2,Subcompact Cars,6/30/22,Yes,425,315
Volkswagen Group of,S5 Coupe,3,6,Auto(S8),21,30,Turbocharged,Semi-Automatic,8,4-Wheel Drive,2300,2,2,Subcompact Cars,6/30/22,Yes,416,299
Volkswagen Group of,TT Coupe,2,4,Auto(AM-S7),23,30,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,1750,2,2,Subcompact Cars,7/1/22,Yes,391,294
Volkswagen Group of,TTS Coupe,2,4,Auto(AM-S7),23,31,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2100,2,2,Subcompact Cars,7/1/22,Yes,377,289
Volkswagen Group of,Continental GT,4,8,Auto(AM-S8),15,23,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3050,2,2,Subcompact Cars,9/2/22,Yes,577,394
Volkswagen Group of,Continental GT Speed,6,12,Auto(AM-S8),12,20,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3650,2,2,Subcompact Cars,9/16/22,Yes,740,452
BMW,230i Coupe,2,4,Auto(S8),26,35,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,7/1/22,Yes,338,254
